dataset;spatial_class;geo_ontology
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/hydrographic_structure;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/mountain_summit;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/glacier_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/storage_structure;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/bend_river_;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/pipeline;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/institutional_site;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/trail;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/levee;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/country_3rd_order_division;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/data_collection_facility;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/physiographic_feature;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/library_building;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/mineral_deposit_area;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/karst_area;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/lock;W3C Basic Geo
Alexandria Digital Library (ADL) Gazetteer;http://adl-gazetteer.geog.ucsb.edu/ontology/mesa;W3C Basic Geo
