dataset
AEMET metereological dataset
Alexandria Digital Library (ADL) Gazetteer
Alpine Ski Racers of Austria
Apertium EN-ES
Apps using our data (University of Southampton)
ASCDC_LOD
BPR – Bibliography of the Italian Parliament and electoral studies
COLINDA - Conference Linked Data
Comprehensive Knowledge Archive Network
Courts thesaurus
CRTM
CTIC Public Dataset Catalogs
data-szepmuveszeti-hu
DATATURCYL - LOD for tourists in Castilla y León (Spain)
Datos.bcn.cl
DBpedia
DBpedia Commons
DBpedia in Basque
DBpedia in Dutch
DBpedia in French
DBpedia in German
DBpedia in Greek
DBpedia in Japanese
DBpedia in Portuguese
DBpedia in Spanish
DBpedia-Live
DBpedia Wikidata
dotAC (RKBExplorer)
Dutch Ships and Sailors
Dutch Ships and Sailors
education.data.gov.uk
EEA Vocabularies
EIONET RDF Data
Enipedia - Energy Industry Data
Environment Agency Bathing Water Quality
Events calendar for the University (University of Oxford)
FarolApp Streetlight Dataset
Geographic Names Information System (GNIS)
GeoLinkedData
Geological Survey of Austria (GBA) - Thesaurus
Hellenic Fire Brigade
Hellenic Police
houses of culture Caceres
Imagesnippets Image Descriptions
Indicators Academic Process 2017
Influence Tracker Dataset
Isidore
ISPRA - The Italian Data Buoy Network (RON)
Korean Institute of Science Technology and Information (RKBExplorer)
linkedarc.net archaeological datasets
Linked Crowdsourced Data
LinkedGeoData
Linked Logainm
Linked Open Aalto Data Service
Linked Taiwan Geo-Names
LinkLion - A Link Repository for the Web of Data
Lotico
Lotico
Medicinal products marketed in Czech Republic
MONDIS
Muninn World War I
Norwegian geo-divisions
Open Data of Ecuador
Open Data Thesaurus
Open Government data Brasil
OpenMobileNetwork
OxPoints (University of Oxford)
Perfil del Contratante Cáceres
Phonetics Information Base and Lexicon (PHOIBLE)
Semantic Web Dog Food Corpus
Serendipity
Shoah victims’ names
Social Semantic Web Thesaurus
Spanish Linguistic Datasets
Terminesp Linked Data
Test Site, LOD Lab 317
transport.data.gov.uk
Universidad Técnica Particular de Loja - Linked Open Data
URIBurner
Verrijkt Koninkrijk
webconf
World Bank Linked Data
World War 1 as Linked Open Data
